"","Date","Team","Acquired","Relinquished","Notes"
"1806","2012-04-04","Jazz","","Devin Harris","sprained left ankle (DNP)"
"1824","2012-04-06","Cavaliers","","Daniel Gibson","recovering from surgery on left foot and ankle to repair torn tendon (DNP)"
"1887","2012-04-11","Jazz","","Jeremy Evans","sprained right ankle (DNP)"
"1906","2012-04-13","Cavaliers","","Daniel Gibson","recovering from surgery on left foot and ankle to repair torn tendon (DNP)"
"1908","2012-04-13","Cavaliers","","Semih Erden","sprained right ankle (DNP)"
"1909","2012-04-13","Heat","","Dwyane Wade","sore right ankle (DNP)"
"1910","2012-04-13","Heat","","Mike Miller","ankle injury (DNP)"
"1914","2012-04-13","Jazz","","Jeremy Evans","sprained right ankle (DNP)"
"1915","2012-04-13","Kings","","Hassan Whiteside","sprained right ankle (DTD)"
"1929","2012-04-14","Jazz","","Jeremy Evans","sprained right ankle (DNP)"
"1954","2012-04-16","Heat","","Dwyane Wade","right ankle injury (DNP)"
"1975","2012-04-17","Cavaliers","","Alonzo Gee","sprained left ankle (DNP)"
"1989","2012-04-18","Cavaliers","","Alonzo Gee","sprained left ankle (DNP)"
"1999","2012-04-18","Kings","","Hassan Whiteside","sprained right ankle (DNP)"
"2024","2012-04-20","Cavaliers","","Alonzo Gee","sprained left ankle (DNP)"
"2028","2012-04-20","Kings","","Hassan Whiteside","sprained right ankle (DNP)"
"2048","2012-04-21","Warriors","","Andrew Bogut","surgery on left ankle to clean out fragments and scar tissue (date approximate)"
"2051","2012-04-21","Warriors","","Dorell Wright","sprained right ankle (DNP)"
"2061","2012-04-22","Kings","","Hassan Whiteside","sprained right ankle (DNP)"
"2091","2012-04-24","Hornets","","Jason Smith","sprained left ankle (DNP)"
"2094","2012-04-24","Kings","","Hassan Whiteside","sprained right ankle (DNP)"
"2110","2012-04-25","Pacers","","Leandro Barbosa","sprained left ankle (DNP)"
"2115","2012-04-25","Warriors","","Stephen Curry","arthroscopic surgery on right ankle (out for season)"
"2116","2012-04-25","Wizards","","Jordan Crawford","sprained right ankle (DNP)"
"2125","2012-04-26","Bobcats","","Derrick Brown","sprained right ankle (DNP)"
"2142","2012-04-26","Kings","","Hassan Whiteside","sprained right ankle (DNP)"
"2169","2012-04-26","Wizards","","Jordan Crawford","sprained right ankle (DNP)"
"2183","2012-05-06","Bulls","","Joakim Noah","sprained left ankle (DNP)"
"2186","2012-05-08","Bulls","","Joakim Noah","sprained left ankle (DNP)"
"2188","2012-05-10","Bulls","","Joakim Noah","sprained left ankle (DNP)"
"2190","2012-05-15","Timberwolves","","Nikola Pekovic","surgery on right ankle to remove bone spurs (out indefinitely)"
"2195","2012-06-14","Celtics","","Ray Allen","arthroscopic surgery on right ankle to remove bone spurs (out indefinitely)"
"2204","2012-07-27","Hornets","","Austin Rivers","surgery on right ankle to remove bone spurs (out indefinitely)"
"2232","2012-10-31","Nuggets","","Danilo Gallinari","sprained left ankle (DNP)"
"2240","2012-11-04","Hawks","","Josh Smith","sprained right ankle (DNP)"
"2242","2012-11-05","76ers","","Jason Richardson","sprained left ankle (DNP)"
"2246","2012-11-07","76ers","","Jason Richardson","sprained left ankle (DNP)"
"2253","2012-11-07","Mavericks","","Rodrigue Beaubois","sprained left ankle (DNP)"
"2254","2012-11-07","Suns","","Kendall Marshall","ankle injury (DNP)"
"2256","2012-11-09","76ers","","Jason Richardson","sprained left ankle (DNP)"
"2262","2012-11-10","76ers","","Jason Richardson","sprained left ankle (DNP)"
"2285","2012-11-14","Timberwolves","","Nikola Pekovic","sprained left ankle (DNP)"
"2286","2012-11-15","Celtics","","Rajon Rondo","sprained right ankle (DNP)"
"2296","2012-11-16","Timberwolves","","Nikola Pekovic","sprained left ankle (DNP)"
"2298","2012-11-17","Mavericks","","Rodrigue Beaubois","ankle injury (DNP)"
"2299","2012-11-17","Nuggets","","Anthony Randolph","ankle injury (DTD)"
"2311","2012-11-20","Hornets","","Anthony Davis","stress reaction in left ankle (DNP)"
"2315","2012-11-21","Hornets","","Anthony Davis","stress reaction in left ankle (DNP)"
"2317","2012-11-21","Rockets","","Cole Aldrich","sprained right ankle (DTD)"
"2318","2012-11-21","Rockets","","Daequan Cook","sprained right ankle (DNP)"
"2320","2012-11-23","Hornets","","Anthony Davis","stress reaction in left ankle (DNP)"
"2323","2012-11-23","Rockets","","Cole Aldrich","sprained right ankle (DNP)"
"2331","2012-11-25","Hornets","","Anthony Davis","stress reaction in left ankle (DNP)"
"2334","2012-11-26","Hornets","","Anthony Davis","stress reaction in left ankle (DNP)"
"2341","2012-11-28","Hornets","","Anthony Davis","stress reaction in left ankle (DNP)"
"2344","2012-11-28","Raptors","","Andrea Bargnani","sore left ankle (DNP)"
"2361","2012-12-01","Bucks","","Beno Udrih","sprained right ankle (DTD)"
"2362","2012-12-01","Hornets","","Anthony Davis","stress reaction in left ankle (DNP)"
"2370","2012-12-03","Cavaliers","","Dion Waiters","sprained left ankle (DTD)"
"2372","2012-12-03","Hornets","","Anthony Davis","stress reaction in left ankle (DNP)"
"2381","2012-12-05","Hornets","","Anthony Davis","stress reaction in left ankle (DNP)"
"2386","2012-12-05","Spurs","","Patty Mills","ankle injury (DNP)"
"2394","2012-12-07","Hornets","","Anthony Davis","stress reaction in left ankle (DNP)"
"2403","2012-12-08","Hornets","","Anthony Davis","stress reaction in left ankle (DNP)"
"2406","2012-12-08","Spurs","","DeJuan Blair","sprained left ankle (DNP)"
"2421","2012-12-10","Rockets","","James Harden","sprained right ankle (DNP)"
"2445","2012-12-14","Pacers","","Lance Stephenson","sprained right ankle (DNP)"
"2452","2012-12-15","Knicks","","Carmelo Anthony","sprained left ankle (DNP)"
"2455","2012-12-15","Pacers","","Lance Stephenson","sprained right ankle (DNP)"
"2466","2012-12-17","Knicks","","Carmelo Anthony","sprained left ankle (DNP)"
"2482","2012-12-19","Cavaliers","","Daniel Gibson","sprained right ankle (DNP)"
"2489","2012-12-20","Blazers","","LaMarcus Aldridge","sore left ankle (DNP)"
"2491","2012-12-20","Mavericks","","Brandan Wright","sprained right ankle (DNP)"
